alpha,beta,theta,delta,gamma,state
32.86098142126288,9.980062293373255,9.635415510973749,6.8156642425106035,0.1,0
15.378733162861161,17.492788572273913,4.516963136717371,0.1,8.10660941618518,1
17.79777806689993,17.148897507333523,8.710426684614697,4.326736119230885,5.223600544375122,1
18.120631183991932,5.341563932351275,11.38252889048924,2.866681277613236,6.716482195164113,0
25.56272290410794,3.9491642242651848,5.888550904338247,4.035802190075744,3.7353276851079524,0
16.169806890659544,14.421072830153781,6.236083844482782,6.755295127128179,8.582374650503887,1
6.1331866277180564,24.87851400361757,15.712492789832247,7.159053308230996,14.909201605636769,1
20.28968805389879,1.8696956557475892,8.808828234528507,4.063530835972422,3.1115024805604423,0
11.446298413165486,27.180654813483866,10.501002585289099,5.9402796942268505,12.690030867400047,2
26.77076330363157,14.970071808118352,6.947544151475786,7.783064128398745,0.1,0
9.602314240512507,41.00993271996602,12.21951483061258,4.916249720299569,30.532249204660072,2
5.71874345789673,17.16841587188295,7.8028820889929005,7.192303496539498,11.383576695429007,1
30.52766628251078,5.5933253426613225,14.207989450092104,0.1,1.9169004713333047,0
8.638235864741901,42.180828473273074,16.280910288801863,5.335005764964902,11.041574681322698,2
7.304698492158106,29.943041029405762,8.238493657470007,2.7685713164268777,11.238355118783836,1
14.716217811921416,14.635811025942719,3.9309295187354647,2.3544039288268666,14.134674997573933,1
23.030056400877925,2.645533111489689,7.742768881721202,5.727360253760611,2.1415808687151636,0
10.04165859352986,18.63661964478557,7.711122366987056,6.2091779410853025,7.360879852688361,1
8.245195386092544,45.08161661383259,13.759212315699802,6.910014777976724,11.613465974481924,2
6.428474541034362,47.00734500117515,17.16893357941526,5.53530820900197,17.883400934788398,2
10.671385802344787,35.406727079255624,9.15549564747755,5.944488022274319,12.043133774919013,2
15.581562841077343,9.465524268485257,9.080593646210435,6.533225886561079,9.60777198758106,0
16.944217991608152,28.828240782798083,7.243336017101202,8.322381488673486,11.567689018791892,2
12.463932582728908,31.445316731171012,7.236116947003038,1.7414888889079632,15.21806931434779,1
11.950918281757852,37.562386214880284,7.042229136229496,3.203017604888288,22.336945295060335,2
17.528745029091553,14.77852677542943,15.922149505868296,5.512987150304114,7.950781451343216,0
9.075612870800269,21.841289309372986,8.075634854736718,0.1,7.876399258215261,1
3.835380097209322,30.66607943225491,17.026470838250596,6.814366632053916,18.4253494468046,2
22.004266567248575,23.899742351192902,8.415565676808551,8.216137066684206,11.856125354943547,1
30.45538985216573,9.961559253339761,8.333848691345747,1.9755844880162674,6.800821942722154,0
38.70982787490064,10.442326446242312,11.284876744161322,7.572126609563277,0.1,0
22.62909378159279,12.434085987222545,11.109976616916533,7.340283455594061,2.597430852428417,0
12.774784948064873,32.345698058237126,7.978984799757477,3.953521177606888,13.828405318833537,1
23.75196034460581,13.579302582813686,8.573124524767906,4.023693032224404,2.2263715469390215,0
20.40190844004575,9.964500266216476,15.54887237320457,3.961594777350302,4.17316813808999,0
